rpc,relation,object_type,deriver,identities,source_proto_file,mode
/gibson.agent.v1.AgentService/Execute,member,tenant,tenant_from_identity,COMPONENT,gibson/agent/v1/agent.proto,rule
/gibson.agent.v1.AgentService/GetDescriptor,member,tenant,tenant_from_identity,COMPONENT,gibson/agent/v1/agent.proto,rule
/gibson.agent.v1.AgentService/GetSlotSchema,member,tenant,tenant_from_identity,COMPONENT,gibson/agent/v1/agent.proto,rule
/gibson.agent.v1.AgentService/Health,member,tenant,tenant_from_identity,COMPONENT,gibson/agent/v1/agent.proto,rule
/gibson.billing.v1.BillingService/DeleteWebhookEvent,member,tenant,tenant_from_identity,USER|SERVICE,gibson/billing/v1/billing.proto,rule
/gibson.billing.v1.BillingService/RecordWebhookEvent,member,tenant,tenant_from_identity,USER|SERVICE,gibson/billing/v1/billing.proto,rule
/gibson.component.v1.ComponentService/CallTool,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/CallToolStream,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/CancelMission,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/Complete,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/CompleteStream,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/CompleteStructured,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/CompleteWithTools,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/CreateMission,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/DelegateToAgent,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/DisablePlugin,can_configure,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/EnablePlugin,can_configure,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/FindSimilarAttacks,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/FindSimilarFindings,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetAttackChains,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetCredential,can_resolve,secret,tenant_and_field('Name'),COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetFindings,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetMissionResults,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetMissionRunHistory,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetMissionStatus,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetPluginConfig,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetRelatedFindings,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetRunFindings,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/GetTaxonomySchema,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/Heartbeat,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/ListAgents,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/ListAvailablePlugins,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/ListMissions,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/ListTenantPlugins,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/ListTools,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemoryClear,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemoryDelete,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemoryGet,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemoryGetPreviousRunValue,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemoryGetValueHistory,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemoryHistory,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemoryKeys,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemorySearch,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/MemorySet,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/PollWork,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/QueryNodes,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/QueryPlugin,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/QueueToolWork,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/RegisterComponent,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/ReportStepHints,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/RunMission,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/StoreNode,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/SubmitFinding,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/SubmitResult,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/TestPluginConnection,can_configure,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/ToolResults,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/UpdatePluginConfig,can_configure,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.component.v1.ComponentService/WaitMission,can_execute,component,system_tenant,COMPONENT,gibson/component/v1/component.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/DescribeAgent,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/DescribePlugin,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/DescribeTool,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/ListAgents,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
/gibson.daemon.discovery.v1.DiscoveryService/ListLLMSlots,member,tenant,tenant_from_identity,USER|SERVICE|COMPONENT,gibson/daemon/discovery/v1/discovery.proto,rule
